AlarmID,AlarmText,Enable
4193,"0x1061 0x00 : Load, CS0, READY ON->BUSY ON : Light Curtain ON",0
4194,"0x1062 0x00 : Load, CS0, READY ON->BUSY ON : PS ON",0
4195,"0x1063 0x00 : Load, CS0, READY ON->BUSY ON : PL ON",0
4196,0x1064 0x00 : Reserved : Reserved,0
4197,0x1065 0x00 : Reserved : Reserved,0
4198,"0x1066 0x05 : Load, CS0, BUSY ON->PS & PL ON : OHT PIO Off-line",1
4199,"0x1067 0x05 : Load, CS0, BUSY ON->PS & PL ON : CS_0 OFF",1
4200,"0x1068 0x05 : Load, CS0, BUSY ON->PS & PL ON : VALID OFF",1
4201,"0x1069 0x05 : Load, CS0, BUSY ON->PS & PL ON : CS_1 OFF",1
4202,"0x106A 0x05 : Load, CS0, BUSY ON->PS & PL ON : AM_AVBL OFF",1
4203,"0x106B 0x05 : Load, CS0, BUSY ON->PS & PL ON : TR_REQ OFF",1
4204,"0x106C 0x05 : Load, CS0, BUSY ON->PS & PL ON : BUSY OFF",1
4205,"0x106D 0x05 : Load, CS0, BUSY ON->PS & PL ON : COMPT OFF",1
4206,"0x106E 0x05 : Load, CS0, BUSY ON->PS & PL ON : ES OFF",1
4207,"0x106F 0x05 : Load, CS0, BUSY ON->PS & PL ON : Clamp ON",1
4208,"0x1070 0x05 : Load, CS0, BUSY ON->PS & PL ON : EQ_ER ON",1
4209,"0x1071 0x05 : Load, CS0, BUSY ON->PS & PL ON : Light Curtain ON",1
4210,0x1072 0x00 : Reserved : Reserved,0
4211,0x1073 0x00 : Reserved : Reserved,0
4212,"0x1074 0x05 : Load, CS0, PS & PL ON->L_REQ OFF : OHT PIO Off-line",1
4213,"0x1075 0x05 : Load, CS0, PS & PL ON->L_REQ OFF : CS_0 OFF",1
4214,"0x1076 0x05 : Load, CS0, PS & PL ON->L_REQ OFF : VALID OFF",1
4215,"0x1077 0x05 : Load, CS0, PS & PL ON->L_REQ OFF : CS_1 OFF",1
4216,"0x1078 0x05 : Load, CS0, PS & PL ON->L_REQ OFF : AM_AVBL OFF",1
4217,"0x1079 0x05 : Load, CS0, PS & PL ON->L_REQ OFF : TR_REQ OFF",1
4218,"0x107A 0x05 : Load, CS0, PS & PL ON->L_REQ OFF : BUSY OFF",1
4219,"0x107B 0x05 : Load, CS0, PS & PL ON->L_REQ OFF : COMPT OFF",1
4220,"0x107C 0x05 : Load, CS0, PS & PL ON->L_REQ OFF : ES OFF",1
4221,"0x107D 0x05 : Load, CS0, PS & PL ON->L_REQ OFF : Clamp ON",1
4222,"0x107E 0x05 : Load, CS0, PS & PL ON->L_REQ OFF : EQ_ER ON",1
